Data Number, standing (0) sitting(1) unknown (2), Nose x, Nose y, Nose score, Neck x, Neck y, Neck score, RShoulder x, RShoulder y, RShoulder score, RElbow x, RElbow y, RElbow score, RWrist x, RWrist y, RWrist score, LShoulder x, LShoulder y, LShoulder score, LElbow x, LElbow y, LElbow score, LWrist x, LWrist y, LWrist score, RHip x, RHip y, RHip score, RKnee x, RKnee y, RKnee score, RAnkle x, RAnkle y, RAnkle score, LHip x, LHip y, LHip score, LKnee x, LKnee y, LKnee score, LAnkle x, LAnkle y, LAnkle score, REye x, REye y, REye score, LEye x, LEye y, LEye score, REar x, REar y, REar score, LEar x, LEar y, LEar score, Background x, Background y, Background score
0, 0, -1, -1, 0, 0.490625, 0.17083333333333334, 0.6528227925300598, 0.55, 0.16666666666666666, 0.4197579622268677, 0.58125, 0.14583333333333334, 0.3455372750759125, 0.559375, 0.0875, 0.3424362540245056, 0.428125, 0.16666666666666666, 0.43394771218299866, 0.38125, 0.25833333333333336, 0.6015474796295166, -1, -1, 0, 0.528125, 0.42916666666666664, 0.416237473487854, 0.528125, 0.5458333333333333, 0.30045202374458313, 0.5125, 0.8583333333333333, 0.15930132567882538, 0.484375, 0.42916666666666664, 0.2449306845664978, 0.425, 0.6416666666666667, 0.2572419345378876, 0.396875, 0.8583333333333333, 0.3207663893699646, -1, -1, 0, -1, -1, 0, 0.51875, 0.09166666666666666, 0.5654549598693848, 0.459375, 0.09166666666666666, 0.7046970129013062, -1, -1, 0
1, 0, 0.5625, 0.24166666666666667, 0.33216163516044617, 0.4875, 0.23333333333333334, 0.6010521650314331, 0.525, 0.26666666666666666, 0.6493929624557495, 0.534375, 0.4083333333333333, 0.7179469466209412, 0.565625, 0.37083333333333335, 0.7451797127723694, 0.446875, 0.19583333333333333, 0.34457269310951233, -1, -1, 0, -1, -1, 0, 0.440625, 0.42083333333333334, 0.4098666310310364, 0.45625, 0.5416666666666666, 0.13795393705368042, -1, -1, 0, 0.39375, 0.3958333333333333, 0.3310180604457855, 0.38125, 0.6375, 0.6244200468063354, 0.371875, 0.825, 0.5363988876342773, 0.5625, 0.22916666666666666, 0.3933877944946289, -1, -1, 0, 0.54375, 0.20833333333333334, 0.8657115697860718, -1, -1, 0, -1, -1, 0
2, 0, 0.534375, 0.06666666666666667, 0.7721089124679565, 0.53125, 0.1875, 0.7546901702880859, 0.475, 0.1875, 0.5450558662414551, 0.453125, 0.25416666666666665, 0.24391381442546844, 0.41875, 0.24583333333333332, 0.29779911041259766, 0.584375, 0.2, 0.6010503172874451, 0.54375, 0.325, 0.22099874913692474, 0.4375, 0.2625, 0.46152931451797485, 0.478125, 0.4, 0.30299606919288635, 0.421875, 0.6625, 0.40224459767341614, 0.440625, 0.825, 0.6735937595367432, 0.53125, 0.4, 0.3529738783836365, 0.540625, 0.5083333333333333, 0.14127686619758606, -1, -1, 0, 0.521875, 0.05, 0.7698758840560913, 0.55, 0.058333333333333334, 0.8504354953765869, 0.503125, 0.07083333333333333, 0.7560871839523315, 0.565625, 0.08333333333333333, 0.7959906458854675, -1, -1, 0
3, 0, 0.4625, 0.0875, 0.836906373500824, 0.48125, 0.1875, 0.7807490825653076, 0.425, 0.1875, 0.6689399480819702, 0.365625, 0.2791666666666667, 0.5466665029525757, 0.3375, 0.32083333333333336, 0.2757613956928253, 0.540625, 0.18333333333333332, 0.6959789991378784, 0.540625, 0.3416666666666667, 0.7545467019081116, 0.45, 0.30416666666666664, 0.6545828580856323, 0.440625, 0.42916666666666664, 0.36110711097717285, 0.371875, 0.675, 0.39550521969795227, 0.39375, 0.8541666666666666, 0.6424611806869507, 0.5, 0.425, 0.33184969425201416, 0.515625, 0.5291666666666667, 0.3619137406349182, -1, -1, 0, 0.446875, 0.07083333333333333, 0.7477951645851135, 0.475, 0.06666666666666667, 0.8478617072105408, 0.434375, 0.08333333333333333, 0.5971184372901917, 0.5, 0.075, 0.7855867147445679, -1, -1, 0
4, 0, 0.4125, 0.21666666666666667, 0.820570170879364, 0.4, 0.29583333333333334, 0.6320565342903137, 0.334375, 0.25416666666666665, 0.5279173254966736, 0.284375, 0.22916666666666666, 0.10139268636703491, -1, -1, 0, 0.471875, 0.31666666666666665, 0.4139670729637146, -1, -1, 0, -1, -1, 0, 0.321875, 0.5458333333333333, 0.2219039797782898, 0.25, 0.7, 0.39847302436828613, 0.3, 0.8541666666666666, 0.6189560294151306, 0.390625, 0.55, 0.20265239477157593, -1, -1, 0, -1, -1, 0, 0.4, 0.2, 0.794399082660675, 0.428125, 0.20416666666666666, 0.8683463335037231, 0.378125, 0.20833333333333334, 0.758798360824585, 0.44375, 0.22083333333333333, 0.6509610414505005, -1, -1, 0
5, 0, 0.571875, 0.09166666666666666, 0.7051126956939697, 0.603125, 0.1875, 0.6912738680839539, 0.578125, 0.175, 0.39595282077789307, -1, -1, 0, -1, -1, 0, 0.625, 0.2, 0.6580095887184143, 0.640625, 0.3333333333333333, 0.5784496665000916, 0.60625, 0.4708333333333333, 0.7073344588279724, 0.58125, 0.4041666666666667, 0.29506441950798035, 0.58125, 0.5291666666666667, 0.2823304235935211, 0.609375, 0.6958333333333333, 0.1655683070421219, 0.603125, 0.42916666666666664, 0.167117178440094, 0.590625, 0.5333333333333333, 0.44743573665618896, -1, -1, 0, 0.565625, 0.075, 0.8980506658554077, 0.5875, 0.075, 0.8585174679756165, -1, -1, 0, 0.615625, 0.1, 0.8677818775177002, -1, -1, 0
6, 0, 0.66875, 0.07083333333333333, 0.8267295360565186, 0.678125, 0.18333333333333332, 0.7657995820045471, 0.625, 0.17916666666666667, 0.6408974528312683, 0.565625, 0.20833333333333334, 0.6311094164848328, 0.5, 0.19583333333333333, 0.6711370944976807, 0.73125, 0.19166666666666668, 0.7493886351585388, 0.753125, 0.32916666666666666, 0.618463933467865, 0.734375, 0.475, 0.7250056862831116, 0.6375, 0.42916666666666664, 0.35387665033340454, 0.578125, 0.6458333333333334, 0.5958701968193054, 0.578125, 0.8333333333333334, 0.6028369069099426, 0.7, 0.45, 0.32807472348213196, 0.715625, 0.5416666666666666, 0.2715222239494324, -1, -1, 0, 0.659375, 0.05, 0.8139218091964722, 0.684375, 0.05416666666666667, 0.8550337553024292, 0.640625, 0.07083333333333333, 0.7586730718612671, 0.70625, 0.07916666666666666, 0.7909538745880127, -1, -1, 0
7, 0, 0.396875, 0.21666666666666667, 0.84987473487854, 0.346875, 0.2833333333333333, 0.6350728869438171, 0.3, 0.25416666666666665, 0.6162622570991516, 0.2125, 0.3541666666666667, 0.6326883435249329, 0.184375, 0.4625, 0.636390745639801, 0.390625, 0.30416666666666664, 0.6383320689201355, 0.434375, 0.32916666666666666, 0.5229943990707397, 0.49375, 0.375, 0.7575003504753113, 0.2375, 0.45, 0.525643527507782, 0.2375, 0.675, 0.6788135170936584, 0.2, 0.8666666666666667, 0.5709035992622375, 0.28125, 0.4791666666666667, 0.37435534596443176, 0.328125, 0.6333333333333333, 0.242689311504364, 0.3125, 0.8, 0.28496190905570984, 0.384375, 0.19583333333333333, 0.7843983769416809, 0.409375, 0.20833333333333334, 0.7978438138961792, 0.35625, 0.2, 0.7930271029472351, -1, -1, 0, -1, -1, 0
8, 0, 0.534375, 0.23333333333333334, 0.765674889087677, 0.534375, 0.35, 0.6970807313919067, 0.48125, 0.3458333333333333, 0.7359282970428467, 0.4625, 0.4625, 0.7154872417449951, 0.4375, 0.575, 0.8475970029830933, 0.590625, 0.35833333333333334, 0.6351998448371887, 0.615625, 0.4708333333333333, 0.7237851619720459, 0.63125, 0.6, 0.6215604543685913, 0.471875, 0.5833333333333334, 0.4651520848274231, 0.46875, 0.7958333333333333, 0.6996962428092957, 0.475, 0.9541666666666667, 0.479682058095932, 0.540625, 0.6, 0.3888721168041229, 0.559375, 0.8041666666666667, 0.6137869954109192, 0.575, 0.9583333333333334, 0.3960522711277008, 0.525, 0.21666666666666667, 0.7901449799537659, 0.546875, 0.225, 0.7964029312133789, 0.50625, 0.2375, 0.8153643608093262, 0.5625, 0.24583333333333332, 0.8023877143859863, -1, -1, 0
9, 0, 0.45625, 0.2, 0.8090644478797913, 0.396875, 0.26666666666666666, 0.5154130458831787, 0.36875, 0.25416666666666665, 0.5967633724212646, 0.3, 0.3541666666666667, 0.6528360247612, 0.29375, 0.48333333333333334, 0.685822606086731, 0.415625, 0.2791666666666667, 0.3382985293865204, -1, -1, 0, -1, -1, 0, 0.290625, 0.4583333333333333, 0.12061259150505066, 0.3, 0.7041666666666667, 0.2544647753238678, 0.275, 0.9, 0.34827157855033875, 0.334375, 0.4625, 0.07942608743906021, 0.365625, 0.6791666666666667, 0.4978008270263672, 0.36875, 0.8583333333333333, 0.5164596438407898, 0.44375, 0.17916666666666667, 0.8672354221343994, 0.465625, 0.18333333333333332, 0.8048563003540039, 0.4125, 0.18333333333333332, 0.7819007039070129, -1, -1, 0, -1, -1, 0
