Data Number, standing (0) sitting(1) unknown (2), Nose x, Nose y, Nose score, Neck x, Neck y, Neck score, RShoulder x, RShoulder y, RShoulder score, RElbow x, RElbow y, RElbow score, RWrist x, RWrist y, RWrist score, LShoulder x, LShoulder y, LShoulder score, LElbow x, LElbow y, LElbow score, LWrist x, LWrist y, LWrist score, RHip x, RHip y, RHip score, RKnee x, RKnee y, RKnee score, RAnkle x, RAnkle y, RAnkle score, LHip x, LHip y, LHip score, LKnee x, LKnee y, LKnee score, LAnkle x, LAnkle y, LAnkle score, REye x, REye y, REye score, LEye x, LEye y, LEye score, REar x, REar y, REar score, LEar x, LEar y, LEar score, Background x, Background y, Background score
98, 0, 0.5597826086956522, 0.2175925925925926, 0.7979360818862915, 0.43478260869565216, 0.2962962962962963, 0.722353458404541, 0.3967391304347826, 0.3055555555555556, 0.6944223046302795, 0.3967391304347826, 0.4722222222222222, 0.8481740951538086, 0.5543478260869565, 0.4861111111111111, 0.609183132648468, 0.47282608695652173, 0.28703703703703703, 0.6286390423774719, 0.5, 0.4444444444444444, 0.391664057970047, 0.5597826086956522, 0.47685185185185186, 0.24905447661876678, 0.41304347826086957, 0.5555555555555556, 0.4985406994819641, 0.42391304347826086, 0.7268518518518519, 0.17570796608924866, -1, -1, 0, 0.47282608695652173, 0.5462962962962963, 0.3641529977321625, -1, -1, 0, -1, -1, 0, 0.5489130434782609, 0.19444444444444445, 0.9397100210189819, 0.5652173913043478, 0.2037037037037037, 0.12017212808132172, 0.4782608695652174, 0.18055555555555555, 0.7988907098770142, -1, -1, 0, -1, -1, 0
109, 0, 0.5054347826086957, 0.3055555555555556, 0.8624056577682495, 0.42391304347826086, 0.41203703703703703, 0.7635232210159302, 0.33152173913043476, 0.41203703703703703, 0.6863153576850891, 0.2554347826086957, 0.5694444444444444, 0.7252779603004456, 0.41847826086956524, 0.6064814814814815, 0.6542336940765381, 0.5108695652173914, 0.4027777777777778, 0.7367600798606873, 0.6086956521739131, 0.5, 0.745849072933197, 0.6739130434782609, 0.4166666666666667, 0.8761420845985413, 0.375, 0.6944444444444444, 0.5119271278381348, 0.40217391304347827, 0.8379629629629629, 0.4827490448951721, 0.30434782608695654, 0.9212962962962963, 0.20322829484939575, 0.4673913043478261, 0.6898148148148148, 0.3949742019176483, 0.42391304347826086, 0.8425925925925926, 0.24102064967155457, 0.40217391304347827, 0.9351851851851852, 0.14061503112316132, 0.483695652173913, 0.2824074074074074, 0.9034644961357117, 0.5163043478260869, 0.28703703703703703, 0.7236632704734802, 0.40217391304347827, 0.2824074074074074, 0.8625251054763794, -1, -1, 0, -1, -1, 0
121, 0, 0.40217391304347827, 0.3055555555555556, 0.7430453896522522, 0.30978260869565216, 0.375, 0.7600588798522949, 0.391304347826087, 0.38425925925925924, 0.5378323793411255, 0.4945652173913043, 0.4305555555555556, 0.36099469661712646, -1, -1, 0, 0.23369565217391305, 0.35648148148148145, 0.5475937724113464, -1, -1, 0, -1, -1, 0, 0.32065217391304346, 0.6018518518518519, 0.49427610635757446, 0.33152173913043476, 0.8240740740740741, 0.5889467597007751, -1, -1, 0, 0.21195652173913043, 0.6203703703703703, 0.42330875992774963, 0.20108695652173914, 0.8194444444444444, 0.4450204074382782, -1, -1, 0, 0.3967391304347826, 0.2916666666666667, 0.8032101988792419, -1, -1, 0, 0.358695652173913, 0.2916666666666667, 0.8989929556846619, -1, -1, 0, -1, -1, 0
123, 0, 0.4673913043478261, 0.3055555555555556, 0.7599267959594727, 0.375, 0.375, 0.7703669667243958, 0.45652173913043476, 0.38425925925925924, 0.5957049131393433, 0.5869565217391305, 0.4537037037037037, 0.699007511138916, 0.6032608695652174, 0.4027777777777778, 0.6063446998596191, 0.30434782608695654, 0.3611111111111111, 0.5468897223472595, -1, -1, 0, -1, -1, 0, 0.391304347826087, 0.6018518518518519, 0.4801218509674072, 0.391304347826087, 0.8009259259259259, 0.29449954628944397, -1, -1, 0, 0.28804347826086957, 0.6064814814814815, 0.48575547337532043, -1, -1, 0, -1, -1, 0, 0.46195652173913043, 0.2916666666666667, 0.8007796406745911, -1, -1, 0, 0.42391304347826086, 0.2916666666666667, 0.8896604776382446, -1, -1, 0, -1, -1, 0
127, 0, 0.483695652173913, 0.24537037037037038, 0.8166698217391968, 0.391304347826087, 0.33796296296296297, 0.6999783515930176, 0.46195652173913043, 0.3472222222222222, 0.5878810286521912, 0.6141304347826086, 0.4212962962962963, 0.6345868110656738, 0.7010869565217391, 0.35185185185185186, 0.35196053981781006, 0.32065217391304346, 0.3287037037037037, 0.5861380100250244, -1, -1, 0, -1, -1, 0, 0.4076086956521739, 0.5601851851851852, 0.5758762359619141, 0.375, 0.7638888888888888, 0.6777481436729431, -1, -1, 0, 0.3423913043478261, 0.5509259259259259, 0.34530749917030334, -1, -1, 0, -1, -1, 0, 0.4673913043478261, 0.23148148148148148, 0.8587190508842468, -1, -1, 0, 0.41847826086956524, 0.24537037037037038, 0.8728429079055786, -1, -1, 0, -1, -1, 0
128, 0, 0.2608695652173913, 0.08796296296296297, 0.7454089522361755, 0.16847826086956522, 0.20833333333333334, 0.4791381061077118, 0.09782608695652174, 0.25, 0.4824902415275574, 0.059782608695652176, 0.42592592592592593, 0.5828258991241455, 0.1793478260869565, 0.4166666666666667, 0.7693496346473694, 0.2391304347826087, 0.16666666666666666, 0.5342704057693481, 0.30978260869565216, 0.2962962962962963, 0.5359340310096741, 0.43478260869565216, 0.37962962962962965, 0.5179594159126282, 0.22826086956521738, 0.4861111111111111, 0.3932241201400757, 0.30978260869565216, 0.6851851851851852, 0.6989899277687073, 0.2717391304347826, 0.8472222222222222, 0.6070294976234436, 0.32608695652173914, 0.46296296296296297, 0.49331972002983093, 0.391304347826087, 0.6203703703703703, 0.41179159283638, -1, -1, 0, 0.2391304347826087, 0.06481481481481481, 0.7497110962867737, -1, -1, 0, 0.15217391304347827, 0.07407407407407407, 0.729651689529419, -1, -1, 0, -1, -1, 0
133, 0, 0.45652173913043476, 0.3287037037037037, 0.7395346760749817, 0.5869565217391305, 0.4027777777777778, 0.5790157914161682, 0.5380434782608695, 0.39814814814814814, 0.444480836391449, -1, -1, 0, -1, -1, 0, 0.625, 0.4027777777777778, 0.5533270835876465, 0.6141304347826086, 0.5972222222222222, 0.43219617009162903, 0.532608695652174, 0.6944444444444444, 0.4625140130519867, 0.5760869565217391, 0.6666666666666666, 0.11565135419368744, -1, -1, 0, -1, -1, 0, 0.625, 0.6851851851851852, 0.43464523553848267, 0.5108695652173914, 0.875, 0.5790497064590454, -1, -1, 0, -1, -1, 0, 0.46195652173913043, 0.3101851851851852, 0.9076963067054749, -1, -1, 0, 0.5163043478260869, 0.30092592592592593, 0.8128581047058105, -1, -1, 0
145, 0, 0.6467391304347826, 0.23148148148148148, 0.7653855085372925, 0.7445652173913043, 0.3148148148148148, 0.8060957193374634, 0.6847826086956522, 0.3148148148148148, 0.719856858253479, 0.6467391304347826, 0.42592592592592593, 0.3091336488723755, 0.6467391304347826, 0.5092592592592593, 0.13988128304481506, 0.8097826086956522, 0.3194444444444444, 0.6988793611526489, 0.8206521739130435, 0.4537037037037037, 0.6939133405685425, 0.7771739130434783, 0.5694444444444444, 0.726520836353302, 0.6847826086956522, 0.5416666666666666, 0.5294102430343628, 0.7282608695652174, 0.7268518518518519, 0.38999590277671814, -1, -1, 0, 0.7445652173913043, 0.5555555555555556, 0.4434461295604706, 0.7391304347826086, 0.7268518518518519, 0.5250813961029053, 0.7663043478260869, 0.9027777777777778, 0.25433674454689026, -1, -1, 0, 0.657608695652174, 0.21296296296296297, 0.9809132814407349, -1, -1, 0, 0.7119565217391305, 0.2037037037037037, 0.8389472961425781, -1, -1, 0
146, 0, 0.5978260869565217, 0.3055555555555556, 0.8031959533691406, 0.6902173913043478, 0.39814814814814814, 0.7558923959732056, 0.6141304347826086, 0.39351851851851855, 0.7371888160705566, 0.5380434782608695, 0.47685185185185186, 0.6004092693328857, 0.4673913043478261, 0.4861111111111111, 0.4936719238758087, 0.782608695652174, 0.4027777777777778, 0.5943874716758728, 0.7880434782608695, 0.5462962962962963, 0.613639235496521, 0.7554347826086957, 0.6620370370370371, 0.7115314602851868, 0.6086956521739131, 0.625, 0.39961352944374084, 0.6739130434782609, 0.8194444444444444, 0.13852769136428833, -1, -1, 0, 0.7065217391304348, 0.6435185185185185, 0.4518951177597046, 0.7010869565217391, 0.7962962962962963, 0.44284459948539734, 0.7336956521739131, 0.8611111111111112, 0.11038368195295334, -1, -1, 0, 0.6086956521739131, 0.28703703703703703, 0.9120504856109619, -1, -1, 0, 0.6793478260869565, 0.2824074074074074, 0.9020098447799683, -1, -1, 0
152, 0, 0.6847826086956522, 0.25462962962962965, 0.8331006169319153, 0.6521739130434783, 0.3194444444444444, 0.8227555155754089, 0.5652173913043478, 0.30092592592592593, 0.6986687779426575, 0.4782608695652174, 0.375, 0.6652117371559143, 0.4673913043478261, 0.4212962962962963, 0.6353757977485657, 0.7445652173913043, 0.3425925925925926, 0.7705408334732056, 0.7391304347826086, 0.4583333333333333, 0.6607754826545715, 0.6521739130434783, 0.5, 0.6982434988021851, 0.5163043478260869, 0.49537037037037035, 0.4852920472621918, 0.483695652173913, 0.6574074074074074, 0.3096998631954193, -1, -1, 0, 0.6304347826086957, 0.5231481481481481, 0.5653776526451111, 0.625, 0.6944444444444444, 0.7520425319671631, 0.6086956521739131, 0.8333333333333334, 0.4502210021018982, 0.6739130434782609, 0.23148148148148148, 0.8061658143997192, 0.7119565217391305, 0.24074074074074073, 0.801870584487915, 0.6521739130434783, 0.22685185185185186, 0.6644951105117798, 0.7391304347826086, 0.24537037037037038, 0.6956992149353027, -1, -1, 0
152, 0, 0.9728260869565217, 0.28703703703703703, 0.29827234148979187, 0.9728260869565217, 0.3425925925925926, 0.5373712182044983, 0.9293478260869565, 0.3333333333333333, 0.7960421442985535, 0.8858695652173914, 0.4166666666666667, 0.6576855778694153, 0.8532608695652174, 0.48148148148148145, 0.6800433993339539, -1, -1, 0, -1, -1, 0, -1, -1, 0, 0.9184782608695652, 0.5046296296296297, 0.42925751209259033, 0.8913043478260869, 0.5879629629629629, 0.35013091564178467, 0.8804347826086957, 0.6851851851851852, 0.288501113653183, 0.9619565217391305, 0.5231481481481481, 0.18998238444328308, 0.9239130434782609, 0.5972222222222222, 0.13708825409412384, 0.8858695652173914, 0.6898148148148148, 0.22194945812225342, 0.9728260869565217, 0.2777777777777778, 0.423490434885025, 0.9836956521739131, 0.2824074074074074, 0.39763620495796204, 0.967391304347826, 0.2824074074074074, 0.36924290657043457, -1, -1, 0, -1, -1, 0
154, 0, 0.4673913043478261, 0.16203703703703703, 0.742796778678894, 0.5597826086956522, 0.26851851851851855, 0.7193438410758972, 0.4782608695652174, 0.2916666666666667, 0.6259519457817078, 0.44021739130434784, 0.4074074074074074, 0.5837255120277405, 0.358695652173913, 0.49074074074074076, 0.7281944751739502, 0.6467391304347826, 0.25, 0.6305485963821411, 0.7010869565217391, 0.39814814814814814, 0.5709163546562195, 0.5543478260869565, 0.49074074074074076, 0.5166168212890625, 0.5271739130434783, 0.5138888888888888, 0.25539299845695496, -1, -1, 0, -1, -1, 0, 0.6413043478260869, 0.5277777777777778, 0.3613063395023346, 0.625, 0.7361111111111112, 0.6181017756462097, 0.6902173913043478, 0.8981481481481481, 0.6516198515892029, 0.44021739130434784, 0.14814814814814814, 0.8035295605659485, 0.4891304347826087, 0.13425925925925927, 0.897909939289093, -1, -1, 0, 0.5489130434782609, 0.12962962962962962, 0.8106498718261719, -1, -1, 0
157, 0, 0.4945652173913043, 0.20833333333333334, 0.7755787968635559, 0.5978260869565217, 0.2916666666666667, 0.638085663318634, 0.532608695652174, 0.2777777777777778, 0.4371032416820526, -1, -1, 0, -1, -1, 0, 0.6684782608695652, 0.3055555555555556, 0.5325015783309937, 0.7010869565217391, 0.4675925925925926, 0.31642135977745056, 0.7336956521739131, 0.49537037037037035, 0.1610642820596695, 0.5, 0.5046296296296297, 0.16322849690914154, -1, -1, 0, -1, -1, 0, 0.5597826086956522, 0.5231481481481481, 0.5032550692558289, 0.5434782608695652, 0.6898148148148148, 0.659394383430481, 0.5760869565217391, 0.8379629629629629, 0.712343692779541, 0.483695652173913, 0.18981481481481483, 0.48126405477523804, 0.5054347826086957, 0.18518518518518517, 0.8686769008636475, -1, -1, 0, 0.5760869565217391, 0.18055555555555555, 0.8482905626296997, -1, -1, 0
159, 0, 0.5543478260869565, 0.2037037037037037, 0.7439042925834656, 0.44565217391304346, 0.2638888888888889, 0.7122063040733337, 0.3858695652173913, 0.2777777777777778, 0.5836068391799927, 0.4076086956521739, 0.42592592592592593, 0.4825214147567749, 0.5597826086956522, 0.37962962962962965, 0.6160550117492676, 0.5108695652173914, 0.25462962962962965, 0.5565177798271179, 0.5543478260869565, 0.4212962962962963, 0.1430039405822754, -1, -1, 0, 0.45652173913043476, 0.5370370370370371, 0.4473003149032593, 0.46195652173913043, 0.7129629629629629, 0.6410427093505859, 0.44021739130434784, 0.8888888888888888, 0.5799057483673096, 0.5434782608695652, 0.5231481481481481, 0.47122612595558167, 0.5706521739130435, 0.6851851851851852, 0.6141976118087769, 0.5217391304347826, 0.8194444444444444, 0.6415831446647644, 0.5489130434782609, 0.18518518518518517, 0.8412150144577026, 0.5597826086956522, 0.19444444444444445, 0.1476808786392212, 0.47282608695652173, 0.16666666666666666, 0.7961344122886658, -1, -1, 0, -1, -1, 0
159, 0, 0.6467391304347826, 0.3611111111111111, 0.3048350214958191, 0.6956521739130435, 0.37962962962962965, 0.36808112263679504, 0.657608695652174, 0.3888888888888889, 0.24659278988838196, -1, -1, 0, -1, -1, 0, 0.7391304347826086, 0.37037037037037035, 0.36810731887817383, 0.7989130434782609, 0.5092592592592593, 0.14889054000377655, -1, -1, 0, 0.6847826086956522, 0.5324074074074074, 0.1073182076215744, -1, -1, 0, -1, -1, 0, 0.7445652173913043, 0.5555555555555556, 0.1715143769979477, -1, -1, 0, -1, -1, 0, 0.6413043478260869, 0.35648148148148145, 0.15669365227222443, 0.6521739130434783, 0.35185185185185186, 0.3063608705997467, -1, -1, 0, 0.6793478260869565, 0.3425925925925926, 0.29399922490119934, -1, -1, 0
164, 0, 0.6032608695652174, 0.3194444444444444, 0.7314947843551636, 0.592391304347826, 0.375, 0.7201383113861084, 0.4891304347826087, 0.3888888888888889, 0.676137387752533, 0.44565217391304346, 0.5138888888888888, 0.5457046627998352, 0.375, 0.5462962962962963, 0.26898518204689026, 0.6847826086956522, 0.3611111111111111, 0.5965086221694946, 0.7880434782608695, 0.4212962962962963, 0.31176334619522095, 0.7771739130434783, 0.41203703703703703, 0.5379011034965515, 0.5543478260869565, 0.6481481481481481, 0.4484008848667145, 0.5271739130434783, 0.7592592592592593, 0.13646551966667175, -1, -1, 0, 0.6847826086956522, 0.6481481481481481, 0.5596849322319031, 0.6630434782608695, 0.8472222222222222, 0.34194397926330566, -1, -1, 0, 0.5815217391304348, 0.2962962962962963, 0.6653822660446167, 0.6304347826086957, 0.30092592592592593, 0.734364926815033, 0.5380434782608695, 0.25925925925925924, 0.6915899515151978, 0.6630434782608695, 0.27314814814814814, 0.555742621421814, -1, -1, 0
168, 0, 0.5054347826086957, 0.09259259259259259, 0.773349940776825, 0.592391304347826, 0.2037037037037037, 0.6542187333106995, 0.5, 0.20833333333333334, 0.5448783040046692, 0.46195652173913043, 0.3194444444444444, 0.4260580837726593, 0.45108695652173914, 0.25925925925925924, 0.49037328362464905, 0.6902173913043478, 0.2037037037037037, 0.4910525977611542, 0.6739130434782609, 0.37037037037037035, 0.18238230049610138, -1, -1, 0, 0.483695652173913, 0.5, 0.49280601739883423, 0.4673913043478261, 0.6481481481481481, 0.6060859560966492, 0.5108695652173914, 0.7546296296296297, 0.6312369704246521, 0.6195652173913043, 0.5138888888888888, 0.3486473262310028, 0.6032608695652174, 0.6944444444444444, 0.5287584066390991, 0.6032608695652174, 0.8333333333333334, 0.5422855615615845, 0.4782608695652174, 0.07407407407407407, 0.7244024276733398, 0.5380434782608695, 0.06018518518518518, 0.8176978826522827, -1, -1, 0, 0.6086956521739131, 0.046296296296296294, 0.8459810018539429, -1, -1, 0
