Data Number, standing (0) sitting(1) unknown (2), Nose x, Nose y, Nose score, Neck x, Neck y, Neck score, RShoulder x, RShoulder y, RShoulder score, RElbow x, RElbow y, RElbow score, RWrist x, RWrist y, RWrist score, LShoulder x, LShoulder y, LShoulder score, LElbow x, LElbow y, LElbow score, LWrist x, LWrist y, LWrist score, RHip x, RHip y, RHip score, RKnee x, RKnee y, RKnee score, RAnkle x, RAnkle y, RAnkle score, LHip x, LHip y, LHip score, LKnee x, LKnee y, LKnee score, LAnkle x, LAnkle y, LAnkle score, REye x, REye y, REye score, LEye x, LEye y, LEye score, REar x, REar y, REar score, LEar x, LEar y, LEar score, Background x, Background y, Background score
0, 0, -1, -1, 0, 0.490625, 0.17083333333333334, 0.6528227925300598, 0.55, 0.16666666666666666, 0.4197579622268677, 0.58125, 0.14583333333333334, 0.3455372750759125, 0.559375, 0.0875, 0.3424362540245056, 0.428125, 0.16666666666666666, 0.43394771218299866, 0.38125, 0.25833333333333336, 0.6015474796295166, -1, -1, 0, 0.528125, 0.42916666666666664, 0.416237473487854, 0.528125, 0.5458333333333333, 0.30045202374458313, 0.5125, 0.8583333333333333, 0.15930132567882538, 0.484375, 0.42916666666666664, 0.2449306845664978, 0.425, 0.6416666666666667, 0.2572419345378876, 0.396875, 0.8583333333333333, 0.3207663893699646, -1, -1, 0, -1, -1, 0, 0.51875, 0.09166666666666666, 0.5654549598693848, 0.459375, 0.09166666666666666, 0.7046970129013062, -1, -1, 0
27, 0, -1, -1, 0, 0.440625, 0.21666666666666667, 0.7240344882011414, 0.5, 0.225, 0.6216541528701782, 0.54375, 0.32916666666666666, 0.3440163731575012, 0.553125, 0.2875, 0.6486385464668274, 0.38125, 0.20416666666666666, 0.7401686906814575, 0.359375, 0.35833333333333334, 0.7814293503761292, 0.35625, 0.4708333333333333, 0.5220779776573181, 0.4625, 0.4708333333333333, 0.3941897451877594, 0.459375, 0.6875, 0.08146727085113525, 0.453125, 0.8708333333333333, 0.16809317469596863, 0.403125, 0.4708333333333333, 0.4535914361476898, 0.365625, 0.6625, 0.21706196665763855, 0.365625, 0.9, 0.09719963371753693, -1, -1, 0, -1, -1, 0, 0.478125, 0.12916666666666668, 0.8164031505584717, 0.421875, 0.125, 0.8303502202033997, -1, -1, 0
28, 0, -1, -1, 0, 0.50625, 0.3375, 0.7505394816398621, 0.54375, 0.32083333333333336, 0.583095371723175, -1, -1, 0, -1, -1, 0, 0.465625, 0.35833333333333334, 0.6464313864707947, 0.46875, 0.49166666666666664, 0.7208431363105774, 0.453125, 0.6, 0.6169363856315613, 0.58125, 0.4791666666666667, 0.1059761643409729, -1, -1, 0, -1, -1, 0, 0.525, 0.5916666666666667, 0.11367317289113998, 0.540625, 0.8125, 0.630266547203064, 0.60625, 0.9041666666666667, 0.10977371782064438, -1, -1, 0, -1, -1, 0, 0.509375, 0.275, 0.21282163262367249, 0.453125, 0.2875, 0.8070098161697388, -1, -1, 0
37, 0, 0.8125, 0.058333333333333334, 0.8254233002662659, 0.821875, 0.2, 0.663398027420044, 0.759375, 0.2, 0.6584145426750183, 0.728125, 0.35, 0.716362714767456, 0.696875, 0.49583333333333335, 0.6876036524772644, 0.8875, 0.19583333333333333, 0.4066467583179474, -1, -1, 0, -1, -1, 0, 0.75, 0.4583333333333333, 0.35785847902297974, 0.6875, 0.7458333333333333, 0.5307343602180481, 0.653125, 0.9625, 0.2735062837600708, 0.821875, 0.4666666666666667, 0.175228551030159, 0.828125, 0.7833333333333333, 0.300647497177124, 0.803125, 0.9583333333333334, 0.19734665751457214, 0.8, 0.0375, 0.8529453873634338, 0.834375, 0.0375, 0.8591252565383911, 0.78125, 0.0625, 0.6253633499145508, 0.859375, 0.06666666666666667, 0.6811831593513489, -1, -1, 0
40, 0, 0.571875, 0.06666666666666667, 0.8062335848808289, 0.5625, 0.2125, 0.6712964773178101, 0.503125, 0.2, 0.6586288809776306, 0.434375, 0.30416666666666664, 0.7549440264701843, 0.35, 0.24166666666666667, 0.5011385679244995, 0.625, 0.225, 0.6502411961555481, 0.65625, 0.38333333333333336, 0.7641622424125671, 0.5875, 0.42916666666666664, 0.6459873914718628, 0.503125, 0.4041666666666667, 0.13200180232524872, -1, -1, 0, -1, -1, 0, 0.565625, 0.4375, 0.1294403225183487, -1, -1, 0, -1, -1, 0, 0.559375, 0.05, 0.7847231030464172, 0.5875, 0.058333333333333334, 0.8572016954421997, 0.534375, 0.075, 0.704161524772644, 0.60625, 0.0875, 0.6974598169326782, -1, -1, 0
43, 0, 0.5163043478260869, 0.2222222222222222, 0.7674988508224487, 0.41304347826086957, 0.30092592592592593, 0.705100953578949, 0.33152173913043476, 0.3055555555555556, 0.6590215563774109, 0.27717391304347827, 0.44907407407407407, 0.7759426832199097, 0.41847826086956524, 0.49074074074074076, 0.686720073223114, 0.4891304347826087, 0.30092592592592593, 0.6779597997665405, 0.5, 0.42592592592592593, 0.5410836935043335, 0.5706521739130435, 0.4583333333333333, 0.5877516269683838, 0.375, 0.5555555555555556, 0.5495511889457703, 0.375, 0.6990740740740741, 0.464205265045166, -1, -1, 0, 0.483695652173913, 0.5277777777777778, 0.4591602385044098, 0.4673913043478261, 0.6666666666666666, 0.10407132655382156, -1, -1, 0, 0.5054347826086957, 0.19444444444444445, 0.8674483895301819, 0.5271739130434783, 0.2037037037037037, 0.3522133231163025, 0.42934782608695654, 0.17592592592592593, 0.8230221271514893, -1, -1, 0, -1, -1, 0
54, 0, 0.6467391304347826, 0.2916666666666667, 0.622143030166626, 0.7228260869565217, 0.3425925925925926, 0.673326849937439, 0.657608695652174, 0.32407407407407407, 0.38671204447746277, 0.6195652173913043, 0.37962962962962965, 0.10201293230056763, 0.6195652173913043, 0.35185185185185186, 0.3439982831478119, 0.8043478260869565, 0.35648148148148145, 0.6135751008987427, 0.7663043478260869, 0.4722222222222222, 0.2835020124912262, -1, -1, 0, 0.6141304347826086, 0.5601851851851852, 0.4758741855621338, 0.6032608695652174, 0.7129629629629629, 0.5328292846679688, 0.5978260869565217, 0.8518518518518519, 0.4241400957107544, 0.717391304347826, 0.5787037037037037, 0.4337374269962311, 0.7010869565217391, 0.7407407407407407, 0.4556831419467926, 0.6902173913043478, 0.9027777777777778, 0.3249762952327728, 0.6467391304347826, 0.27314814814814814, 0.29593828320503235, 0.6739130434782609, 0.2824074074074074, 0.8812859654426575, -1, -1, 0, 0.75, 0.26851851851851855, 0.855577826499939, -1, -1, 0
55, 0, 0.5, 0.24074074074074073, 0.8061777353286743, 0.4945652173913043, 0.35185185185185186, 0.6522716283798218, 0.41304347826086957, 0.3333333333333333, 0.43846559524536133, -1, -1, 0, -1, -1, 0, 0.5869565217391305, 0.37037037037037035, 0.6063637137413025, 0.5380434782608695, 0.5, 0.27059563994407654, 0.5380434782608695, 0.5972222222222222, 0.1885858178138733, 0.375, 0.5833333333333334, 0.34515976905822754, 0.3804347826086957, 0.7592592592592593, 0.4963739812374115, 0.391304347826087, 0.9074074074074074, 0.21050246059894562, 0.4891304347826087, 0.5972222222222222, 0.46295756101608276, 0.483695652173913, 0.7962962962962963, 0.5489494800567627, 0.483695652173913, 0.9490740740740741, 0.45455989241600037, 0.483695652173913, 0.2175925925925926, 0.8178313374519348, 0.532608695652174, 0.2222222222222222, 0.8328078985214233, 0.46195652173913043, 0.22685185185185186, 0.23129889369010925, 0.5815217391304348, 0.24074074074074073, 0.7906134724617004, -1, -1, 0
62, 0, 0.2608695652173913, 0.08796296296296297, 0.7454089522361755, 0.16847826086956522, 0.20833333333333334, 0.4791381061077118, 0.09782608695652174, 0.25, 0.4824902415275574, 0.059782608695652176, 0.42592592592592593, 0.5828258991241455, 0.1793478260869565, 0.4166666666666667, 0.7693496346473694, 0.2391304347826087, 0.16666666666666666, 0.5342704057693481, 0.30978260869565216, 0.2962962962962963, 0.5359340310096741, 0.43478260869565216, 0.37962962962962965, 0.5179594159126282, 0.22826086956521738, 0.4861111111111111, 0.3932241201400757, 0.30978260869565216, 0.6851851851851852, 0.6989899277687073, 0.2717391304347826, 0.8472222222222222, 0.6070294976234436, 0.32608695652173914, 0.46296296296296297, 0.49331972002983093, 0.391304347826087, 0.6203703703703703, 0.41179159283638, -1, -1, 0, 0.2391304347826087, 0.06481481481481481, 0.7497110962867737, -1, -1, 0, 0.15217391304347827, 0.07407407407407407, 0.729651689529419, -1, -1, 0, -1, -1, 0
68, 0, 0.657608695652174, 0.16203703703703703, 0.7297237515449524, 0.782608695652174, 0.2824074074074074, 0.5270215272903442, 0.7445652173913043, 0.27314814814814814, 0.31543785333633423, -1, -1, 0, -1, -1, 0, 0.8206521739130435, 0.28703703703703703, 0.40873417258262634, 0.7934782608695652, 0.49074074074074076, 0.2492431253194809, 0.7445652173913043, 0.6111111111111112, 0.39365851879119873, 0.6739130434782609, 0.625, 0.13849037885665894, 0.7228260869565217, 0.8333333333333334, 0.16329574584960938, 0.7608695652173914, 0.9212962962962963, 0.11379735171794891, 0.7391304347826086, 0.625, 0.23945993185043335, 0.6793478260869565, 0.8333333333333334, 0.5314366221427917, -1, -1, 0, -1, -1, 0, 0.6684782608695652, 0.1388888888888889, 0.8674628734588623, -1, -1, 0, 0.7336956521739131, 0.12962962962962962, 0.8452097177505493, -1, -1, 0
